,Title,Location,Company,Description,Salary,Tipo_Puesto,English,Academy_grade,Years_Experience,SoftSkill,HardSkill,Remoto,Estado,Accessed_Date
10,INGENIERO DE OPERACIÓN DE REDES,"Guadalajara, Jalisco",Megacable,"Megacable es una empresa mexicana de telecomunicaciones, contamos con 38 años en los servicios de TV, Internet, telefonía digital y móvil. Contamos con más de 22,000 colaboradores en 26 estados de la República Mexicana. Somos propietarios de Video Rola que es un canal de música regional y Megacanal que es un noticiero.


Requisitos:
Licenciatura/ Ingeniería en Telecomunicaciones, Electrónica, Computación o Sistemas.
Experiencia: 1 año en telecomunicaciones.
Conocimientos: Planeación y seguimiento de proyectos Manejo de Equipos y diagnósticos.
Certificaciones: Redes CCNA, CCNA Wireless, CCNP (deseable)


Actividades:
Participar activamente en la instalación, configuración, puesta a punto y validación coordinando la instalación física, configurando los equipos, revisando los resultados del Checklist para configurar y validar la correcta implementación y operación del equipo.
Dimensionar y realizar logística de recursos humanos y tecnológicos, gestionando materiales y requerimientos físicos para operar redes de Acceso.
Realizar la revisión de entregables por parte de implementación, arquitectura e investigación acceso para su correcta operación y monitoreo a las áreas de NOC y soporte.
Documentar las actividades realizadas a detalle para operar, monitorear y soportar la infraestructura de redes de acceso.
Operar de manera eficiente la infraestructura y Redes de Acceso de Megacable siguiendo instructivos de operación, manuales del fabricante y memorias técnicas.
Mantener disponible y actualizada la información de la infraestructura de redes de datos, documentando las diferencias y cambios de la red, para eficientar los procesos de Operación y Soporte de la red y toda aquella área que por naturaleza interactúe con la red de Acceso de Megacable.
Realizar la documentación técnica, actualizando capacidades, status y topología de equipamiento de infraestructura.
Utilizar herramientas de documentación y control para ejecutar órdenes de trabajo y operar eficazmente proyectos de acceso residencial.
Generar canales de conocimiento tecnológico, consultando proveedores, ingenierías de implementación, arquitectura e investigación, documentación, internet, foros para solucionar incidencias y cualquier clase de problemas técnicos.
Realizar trabajos de mantenimiento a la infraestructura de la Red de Acceso y Agregación, generando ventanas de mantenimiento, de cambios, gestionando recursos y horarios para estas en el tiempo que sea requerido para minimizar la afectación a los clientes durante la ejecución de los cambios.
Atender las solicitudes inter-áreas resolviendo los folios generados en las herramientas de uso interno para contribuir con el desarrollo de proyectos y operaciones de Megacable.
Generar indicadores, recomendaciones y requerimientos de manera oportuna, consultando el status de los equipos de red y gestionando su operación dentro de los límites establecidos.
Brindar el servicio óptimo a la infraestructura de Red de Megacable.
Mejorar constantemente los tiempos de atención de requerimientos y calidad en el servicio a los clientes del área.

Ofrecemos:
Prestaciones superiores
Sueldo competitivo
Vales de despensa
Contratación directa por la empresa",No especificado,Empleado de tiempo completo,Nivel Intermedio,Licenciatura,"38 años, 1 año",,,, Jalisco,2021-11-08
11,INGENIERO DE IMPLEMENTACIÓN DE REDES,"Guadalajara, Jalisco",Megacable,"Megacable es una empresa mexicana de telecomunicaciones, contamos con 38 años en los servicios de TV, Internet, telefonía digital y móvil. Contamos con más de 22,000 colaboradores en 26 estados de la República Mexicana. Somos propietarios de Video Rola que es un canal de música regional y Megacanal que es un noticiero.


Requisitos:
Licenciatura/ Ingeniería en Electrónica, Computación o Sistemas
Configuración y Operación de Switches, Firewalls y Routers, Administración de redes, soporte de redes, NOC
Certificación en Redes: CCNA, CCNP, ITIL


Actividades:
Apoyar a los procesos de Ingeniería y Arquitectura de la red de Acceso, en el diseño de nuevas soluciones de acuerdo a los requerimientos del servicio establecidos por clientes internos y externos.
Realizar Configuración e implementación de soluciones eficientes para redes de acceso y distribución IP, apegadas a los documentos HLD’s y LLD’s liberados por el proceso correspondiente.
Dimensionar y realizar la logística de los recursos humanos y tecnológicos, gestión de materiales y requerimientos físicos para implementar redes de Acceso.
Realizar el seguimiento necesario con el personal correspondiente para la implementación en tiempos óptimos de los equipos de la red de acceso.
Realizar la documentación técnica de sus proyectos, actualizando capacidades, estatus y topología de redes de acceso.
Utilizar las herramientas de control internas para ejecutar órdenes de trabajo e implementar eficazmente proyectos de acceso residencial.
Coordinar la instalación física, realizar la configuración de equipos y validar resultados de los Checklist de servicio de los equipos de Acceso
Mantener disponible y actualizada la información de la infraestructura de redes de acceso, documentando los cambios a la red   para eficientar los procesos de Operación y Soporte de la red y toda aquella área que por naturaleza interactúe con la red de Acceso de Megacable.
Realizar la entrega de infraestructura de Acceso instalada a las áreas de Operación, NOC, soporte, documentando las implementaciones realizadas a detalle para operar, monitorear y soportar la infraestructura de redes de acceso. 
Operar de manera eficiente la infraestructura y Redes de Acceso de Megacable siguiendo instructivos de operación, manuales del fabricante y memorias técnicas. Para mejorar constantemente los tiempos de atención de requerimientos y calidad en el servicio a los clientes del área. 
Atender las solicitudes inter-áreas resolviendo los folios generados en las herramientas de uso interno para contribuir con el desarrollo de proyectos y operaciones de Megacable.
Generar indicadores, recomendaciones y requerimientos de manera oportuna, consultando el status de los equipos de red y gestionando su operación dentro de los límites establecidos para brindar el servicio óptimo en la infraestructura de Red de Megacable.
Realizar el seguimiento necesario con el personal correspondiente para la corrección de indicadores fuera de parámetros óptimos de operación de la red de acceso de Megacable.
Realizar trabajos de mantenimiento a la infraestructura de Red de Acceso, generando ventanas de mantenimiento, de cambios, gestionando recursos y horarios para estar en el tiempo que sea requerido y autorizado para minimizar la afectación a los clientes durante la ejecución de los cambios.
Reportar a la coordinación y/o Gerencia de Red Acceso de los hallazgos encontrados durante el desarrollo de sus funciones que permitan mejorar el desempeño de la red de Acceso y/o en su defecto de los indicios que pudieran repercutir en la calidad del servicio de los abonados.

Ofrecemos:
Prestaciones superiores
Sueldo competitivo
Vales de despensa
Contratación directa por la empresa",No especificado,Empleado de tiempo completo,Nivel Intermedio,Licenciatura,38 años,,,, Jalisco,2021-11-08
12,IT Especialista de Seguridad y Redes - Cdmx,"Cuauhtémoc, Ciudad de México",Listopro,"Listopro es una plataforma que conecta candidatos con empresas en Latinoamérica. Es la primera donde al completar tu perfil, son las empresas las que te invitan a sus procesos.

¿Cómo funciona el proceso?
1.El primer paso es completar tu perfil en nuestra página.
2.Te contactamos para que seas validado.
3.Las empresas te invitan a sus procesos.
4.Crear una cuenta es totalmente gratuita.
5.Si ya tienes una cuenta, solo ingresa a listopro.com y actualiza tu perfil.

Acerca de la posición.
Somos una Fintech en plena expansión, con el objetivo de ampliar en los próximos meses nuestro portafolio, tanto de productos financieros como de clientes y queremos integrar a nuestro equipo un IT Especialista de Seguridad y Redes.

Este role tiene como misión mantener la operación de todos los servicios de comunicaciones de la organización y  la operación de toda la infraestructura tecnológica de las oficinas de la empresa.

Responsabilidades:
- Monitorear y administrar todos los servicios de comunicaciones y toda la infraestructura tecnológica de las oficinas de la organización.
- Administrar proveedores de servicios de Tecnología y de seguridad informática.
- Participar en los proyectos de remodelación y cambio de oficinas.
- Administrar equipos de CCTV y Control de accesos.
- Dar soporte de primer y segundo nivel para todos los servicios de TI de la Organización.
- Dar apoyo con temas de Cumplimiento y Auditorías de TI.
-Soportar los servicios en Nube.

Requisitos:
- Licenciatura en Administración TI, Ingeniería Electrónica, Comunicaciones, Redes.
- Experiencia en mudanza tecnológica de oficinas.
- Experiencia en administración de comunicaciones de oficinas foráneas a través de VPNs, MPLS o SDWAN.
- Experiencia en administración de PBX y telefonía IP (FreePBX, Yealink)
- Experiencia en Linux.
- Experiencia en equipos Windows.
- Experiencia en equipos MAC.
- Experiencia en administración de Firewall (Fortinet, Sonicwall).
- Experiencia en Redes inalámbricas (UniFi o Ubiquiti y Aruba).
- Experiencia en equipos de ruteo y switcheo (Fortinet, Ubiquiti y Aruba).
- Experiencia en servicios de comunicaciones (HSI y Telefonía).
- Experiencia en implementación de servicios nuevos (WSUS, AD).
- Experiencia en servicios en nube (AWS).
- Administración de VPC, Administración de EC2, Administración de VPN,Administración de Transit Gateways, etc.).
- Experiencia en Administración de CCTV (Hikvision y Dahua) y Control de Accesos (BioStar).
- Experiencia en equipos de Videoconferencia (Zoom, Cisco, etc.).
- Experiencia en administración de consola Gsuite.
- Idiomas: Español e Inglés avanzado.
- Conocimientos normativos/legales: ISO 27001 y administración de TI.
- Formación específica profesional: cursos de CCNA e ITIL.
4313","$ 70,000 a 80,000",Empleado de tiempo completo,Nivel Avanzado,Licenciatura,,,"Linux, AWS, EC2, Cisco",, Ciudad de México,2021-11-08
13,Especialista en Seguridad Cloud y Redes,"Miguel Hidalgo, Ciudad de México",CIRCULO DE CREDITO,"Círculo de Crédito solicita:
Especialista en Seguridad Cloud y Redes
Funciones:
Definir la arquitectura de la seguridad en redes de comunicaciones y en los ambientes de la nube.
Evaluar e implementar controles operativos de seguridade para Cloud
Proponer soluciones para la atención de las brechas de seguridad en nube y redes
Salvaguardar la información de la empresa
Requerimos:
3 años de experiencia en funciones similares en el área de TI
Inglés intermedio
Escolaridad: Ingeniería en Sistemas o afín
Disponibilidad para viajar
Ofrecemos
Sueldo competitivo de acuerdo experiencia
Prestaciones de Ley y superiores
Horario de L-V de 8 am a 5 pm
Zona de Trabajo Polanco","$ 40,000 a 45,000",Empleado de tiempo completo,Nivel Avanzado,Licenciatura,3 años,,,, Ciudad de México,2021-11-08
14,Ejecutivo de Marketing,"Cuauhtémoc, Ciudad de México",Yaxché Dev,"REQUISITOS INDISPENSABLES
Experiencia en manejo de redes sociales como FB, Instagram (Indispensable)
Diseño Web (indispensable)
Habilidades de Diseño Gráfico (indispensable)
Implementación de campañas en Plataformas Digitales (indispensable)
Conocimiento en edición de video (Deseable)
Excelente redacción, ortografía y comunicación (Indispensable)
Creativ@
Conocimiento de realización de Webinars (indispensable)
Habilidad en detección de tendencias
Habilidad para generar comunidad entre los seguidores
Habilidad para generación de reportes
Autodidacta, iniciativa, proactividad
ESTUDIOS
Estudios en Mercadotecnia /Marketing Digital/ Comunicación/ Publicidad o a fin
EXPERIENCIA
3+ años en puesto similar
Zona de trabajo
Reforma Centro
Prestaciones
Sueldo competitivo
Prestaciones de Ley y superiores
Buen ambiente de trabajo
Si estas interesado ingresa a:
https://lnkd.in/gqqgk5S","$ 10,000 a 15,000",Empleado de tiempo completo,Nivel Intermedio,,3+ años,,,, Ciudad de México,2021-11-08
15,"Director de Ingeniería, Sistemas y Seguridad","Cuauhtémoc, Ciudad de México",DESYSNET Consultores TI,"Requisitos:
Experiencia de 5 años en redes, telecomunicaciones, enlaces, sistemas operativos. 
Amplio conocimiento y experiencia  en Microsoft, Cisco, Swich HP) NOC - SOC
Software (Swich, prtg, network)
Hardware en botones, reset, telemarketing
Ingeniería en manejo de procesos documentales de ingeniería y planos 
Microondas
Fibra óptica
Cableado estructurado
Preferencia certificados en ITIL y Scum Master 
Competencias
Empuje alto
Trabajo en equipo","$ 175,000 a 200,000",Empleado de tiempo completo,Nivel Intermedio,"Licenciatura, Master",5 años,Trabajo en equipo,Cisco,, Ciudad de México,2021-11-08
16,Ing. Automatización,"Benito Juárez, Ciudad de México",FACTOR RH,"Objetivo General del Puesto:
Investigar, innovar y crear nuevas soluciones en infraestructura de redes, por medio de la virtualización de equipos de red y programación con el fin de reducir el error humano, tanto de los clientes internos como externos.
  Responsabilidades:
  ·       -    Encontrar potencial de automatización en procesos de software/hardware para brindar soluciones al cliente.
-   Realizar el levantamiento de requerimientos de necesidades con cliente, proponer solución y hacer las pruebas necesarias.
 - Realizar la propuesta técnica y presentar a cliente.   
 -  Apoyo en la gestión de los programas de certificación de las áreas de infraestructura.
 -    Realizar la programación de scripts para los clientes y como apoyo a los ingenieros de soporte.
 -    Desarrollar automatización de redes multimarca a mayor escala.
 -  Investigar, probar y desarrollar soluciones de los partners para la preventa.
-   Instalar bases de datos y/o aplicaciones clave para la automatización.
-  Dar capacitación a los clientes en el uso de las soluciones.
- Dar soporte a equipos  de Demo-Room en el site,  administrar IPs y configurar puntos de acceso.                                                                                                                                                                                                                                                                                                                                                                                                                        
Experiencia Requerida:
Conocimiento de redes: 1 – 2 años
Desarrollo de software: 1 – 2 años                                                                                                                                 
  Competencias Técnicas:
•              Desarrollo de Software –  Intermedio básico
•               Conocimiento de Redes –  Intermedio básico
•               Virtualización de datos -  Intermedio básico
•               Diseño y administración de base de datos –  Básico
•               Servicios de la nube –  Básico
•               Inglés técnico leído -  Intermedio avanzado

Otros requisitos:
·           Conocimiento en lenguajes de programación: Python, Java, C++, C
·           Conocimiento de base de datos: MySQL, SQL Server
·           Cualquier certificación de Redes o Desarrollo de Software –  deseable","$ 10,000 a 15,000",Empleado de tiempo completo,Nivel Básico,,"2 años, 2 años",,"C/C++, Python, Java, SQL, MySQL, SQL server",, Ciudad de México,2021-11-08
17,Ingeniero de Soporte para Mesa Técnica,"Querétaro, Querétaro",Involve,"Soporte técnico en:
• infraestructura de red de datos y voz
• VPN
• Active Directory
• Conocimiento básico de router, switches, redes LAN, Wifi, IP, telefonía IP.
• Configuración de puertos en swithes y router.
• Conocimiento servidores Windows (CMD), Linux (Terminal)
• Computadoras Windows las versiones más reciente

Cambio de direccionamiento IP a través de comandos Linux
• Coordinar con proveedores de servicios la ejecución de cambios de direccionamiento IP en sucursales
• Reportes diarios de tareas ejecutadas
• Seguimiento a incidentes de voz y datos derivados de estos cambios
• Escalación de incidentes a otras área

Conocimientos de infraestructura de voz y datos","$ 10,000 a 15,000",Empleado de tiempo completo,Nivel Intermedio,,,,Linux,, Querétaro,2021-11-08
18,Ingeniero de Soporte Técnico,"Huixquilucan, Estado de México",AVANTIKA,"·       Facilidad de comunicación con usuarios de diversas áreas
·       Trabajo en equipo
·       Analista global de Redes, Comunicaciones y Ciberseguridad
·       Titulado en Ing. En sistemas, Telecomunicaciones, Electrónica o afín – 3 años de experiencia
·       Conocimiento Http, Dns, Dhcp, SMTP, Telnet, Ftp, entre o otros
·       Conocimiento Análisis de malware: ASM x86/x64, métodos de infección y persistencia, desinfección, ingeniería inversa, criptografía.
·       Redes Lan, Wan, hacking ético, análisis de vulnerabilidades, diseño soluciones y herramientas de mecanismos de autentificación y de autorización, encriptación de dispositivos de almacenamiento
·       Manejo de sistemas de Gestión en la seguridad de la información, administración de Firewall, antivirus, sistemas operativos Windows, Linux y Android.
·       Manejo de Vlans, Vlan, VTP, Rapid Spanning, RSTP, PVSTP y 802.1q
·       Conocimiento del funcionamiento de equipos, switches, Access point, Firewall, cableado, IPS, Filtros de Acceso Web, antivirus, antimalware, WAF, VPN, Wireless, NAT, centrales Asterisk, Servidores de Red
·       Certificados en soluciones de Networking y Ciberseguridad tales como CCNA, CCNP Security, Fortinet(NSE1,NSE2, NSE3, NSE4), CISA, CISM, CISSP, ISO 27001 entre otros.
·       Tecnologías: FIREWALLS, IDS/IPS, SIEM, DLP, antimalware solutions, VPNS, CISCO
·       Ingles Intermedio
·       Disponibilidad para viajar
·       Integridad respecto a la información sensible de la compañía
·       Proactividad respecto a cualquier mejora y/o corrección en el sistema asignado
·       Capacidad Analítica que permita identificar y soluciones a cualquier incidente, así como el desarrollo de nuevos","$ 20,000 a 25,000",Empleado de tiempo completo,Nivel Intermedio,Licenciatura,3 años,Trabajo en equipo,"Android, Linux, Cisco",, Estado de México,2021-11-08
19,Ingeniero(a) de Seguridad Informática Senior,"Guadalajara, Jalisco",O'Reilly - MAYASA/ORMA Autopartes,"Funciones del puesto:
Trabaja con la dirección de TI para definir la dirección de seguridad de la organización, incluidos los sistemas, las redes, los servicios de los usuarios y los esfuerzos de desarrollo de los proveedores.
Diseña, implementa, apoya y evalúa las herramientas e infraestructuras centradas en la seguridad.
Supervisa y realiza la planificación de la seguridad de la empresa, proporcionando supervisión de la seguridad y análisis de registros para detectar incidentes de seguridad.
Dirigir y realizar pruebas de redes y sistemas mediante simulación u otros medios para poner de relieve y encontrar cualquier punto débil que pueda ser explotado. 
Proporcionar informes de los resultados de las pruebas y recomendar mejoras de las deficiencias de seguridad.
Supervisar y aplicar la integración de herramientas y el apoyo a la automatización.
Coordinar con los ingenieros de sistemas para evaluar y recomendar productos y tecnologías de seguridad nuevos y emergentes.
Revisar los sistemas para determinar el cumplimiento de las normas de seguridad establecidas.
Participar en la gestión de incidentes según sea necesario.

Requisitos del puesto:
Gran capacidad de resolución de problemas y desarrollo de soluciones de prevención de pérdida de datos
Conocimiento de las tecnologías de encriptación de datos en reposo y en movimiento
Más de 5 años de experiencia práctica en mensajería de correo electrónico, seguridad de datos, cifrado, PKI, supervisión, control de acceso y herramientas de gestión de incidentes
Experiencia práctica con soluciones de bases de datos
Experiencia laboral con soluciones criptográficas (incluyendo autenticación, cifrado, phishing, hashing, tokenización y firma) en aplicaciones, copias de seguridad, bases de datos, dispositivos de punto final, correo electrónico, archivos, redes, medios extraíbles y dominios de almacenamiento.
Experiencia con herramientas de seguridad comunes y de código abierto (Sonarqube, KnowBe4)
Familiaridad con los controles de seguridad virtual y las mejores prácticas
Experiencia trabajando con infraestructuras en la nube, cortafuegos empresariales, sistemas de detección de intrusos, software antivirus, sistemas de autenticación, gestión de registros, filtrado de contenidos, etc.
Experiencia liderando equipos y proyectos grandes y complejos.
4-7 años de experiencia relevante en el campo de actividad de TI.
Conocimientos avanzados de inglés.
Capacidad para comprender los eventos y las alertas de seguridad, analizar las alertas, establecer los hechos y sacar conclusiones válidas para resolver el problema.
Habilidades de resolución de problemas.
Conocimiento de los proveedores de seguridad comerciales.
Conocimiento de Linux, Windows, Mac OS, TCP/IP, cortafuegos, IDS. Conocimiento de las tecnologías de seguridad, incluyendo Firewalls, VPN, IDS/IPS, así como conocimiento de ISO27001, SOX IT Controls,
Conocimiento de Microsoft AD, Exchange, Cisco, consultas SQL, scripting, Palo Alto ",No especificado,Empleado de tiempo completo,Nivel Avanzado,,"5 años, 4-7 años",Resolucion de problemas,"SQL, Linux, Cisco",, Jalisco,2021-11-08
